New?,Actual Self,Perceived Self,character,Actual Other,Perceived Other,Ideal Other,Max Accept Range,Min Accept Range,Other Character,Other Self Eval,Other Accept Min,Other Accept Max,Other Eval Self,Outcome from Self,Outcome from Other,Overall Outcome,Perceived Reward,Actual Reward
1,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0
1,23,27.729373290278822,0.12075721855999176,95,75.07176353369998,100.0,100.0,19.002173425225443,0.11303358090752515,104.86504636730469,72.25403570020454,100.0,24.542238374509676,1,0,0,-5.71693536577723,-8.694519736319407
0,23,22.01243792450159,0.12075721855999176,99,124.50504533870492,90.58243892148812,90.58243892148812,4.31455424893775,0.11910839849345649,107.30517914247106,128.54551266178345,90.58243892148812,47.24923722037819,0,0,0,-1.494578547073432,-1.108255243410267
0,23,-19.781945447883878,0.12075721855999176,9,7.430516143921663,80.80753777736274,63.38384209558312,-43.96718916500864,0.10307089379513329,-0.8744810437325583,-0.13251905986193968,80.80753777736274,5.438376310748467,1,1,1,27.212461591805543,-14.0
