New?,Actual Self,Perceived Self,character,Actual Other,Perceived Other,Ideal Other,Max Accept Range,Min Accept Range,Other Character,Other Self Eval,Other Accept Min,Other Accept Max,Other Eval Self,Outcome from Self,Outcome from Other,Overall Outcome,Perceived Reward,Actual Reward
1,1,1.0,1.0,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1
1,28,17.481741467279292,0.11858127628920936,23,28.08666496670293,100,100,7.69662105330633,0.09749497354615833,18.935631563698895,21.07547627001561,100,25.170793363615598,1,1,1,10.604923499423638,-5
